sentence,source,target,label,llm_label,title,abstract,doi
"KEY RESULTS
Gut microbiome analysis showed that Morphine treatment induced enrichment of β-glucuronidase-producing bacteria in the intestines of CPT-11-treated mice, resulting in SN-38 accumulation and exacerbation of GI toxicity in the small intestine",Morphine,SN-38,Cause-Effect,cause-effect,Opioid-induced microbial dysbiosis disrupts irinotecan (CPT-11) metabolism and increases gastrointestinal toxicity in a murine model.,"BACKGROUND AND PURPOSE
Opioids are commonly used for the management of cancer-associated pain and chemotherapy-induced diarrhoea. The chemotherapeutic irinotecan (CPT-11) causes severe gastrointestinal (GI) toxicity due to deconjugation of inactive metabolite SN-38 glucuronide (SN-38G) by bacterial β-glucuronidases to the active 7-ethyl-10-hydroxycamptothecin (SN-38). Opioids are known to cause gut microbial dysbiosis, this study evaluated whether CPT-11 anti-tumour efficacy and GI toxicity are exacerbated by opioid co-administration.


EXPERIMENTAL APPROACH
Eight-week-old C57BL/6 male mice were co-administration with CPT-11 ± opioid. 16S rRNA sequencing was used for gut microbiome analysis. LC-MS analyses of plasma and intestinal extracts were performed to investigate the pharmacokinetic profile of CPT-11. Histological analysis and quantitative real-time polymerase chain reaction were used to determine the severity of intestinal tissue damage. Human liver microsome In vitro assay was performed to confirm the effects of opioids on CPT-11 metabolism.


KEY RESULTS
Gut microbiome analysis showed that morphine treatment induced enrichment of β-glucuronidase-producing bacteria in the intestines of CPT-11-treated mice, resulting in SN-38 accumulation and exacerbation of GI toxicity in the small intestine. Oral administration of both antibiotics and glucuronidase inhibitor protected mice against GI toxicity induced with CPT-11 and morphine co-administration, implicating a microbiome-dependent mechanism. Additionally, morphine and loperamide decreased the plasma concentration of SN-38 and compromised CPT-11 anti-tumour efficacy, this seemed to be microbiome independent.


CONCLUSION AND IMPLICATIONS
Gut microbiota play a significant role in opioid and chemotherapeutic agent drug-drug interactions. Inhibition of gut microbial glucuronidase may also prevent adverse GI effects of CPT-11 in patients on opioids.",10.1111/bph.16020
"MATERIAL AND METHODS
70 patients who had undergone Phenol technique surgery for ingrown toenail were divided into two groups - control (n = 35) who received post-operative cures following the standard protocol with Povidone iodine gel, and experimental (n = 35) who received cures with HA in the first 3 visits",Phenol,Povidone,Component-Whole,cause-effect,Effectiveness of hyaluronic acid in post-surgical cures following partial matricectomies with the phenol/alcohol technique: A randomized clinical trial.,"BACKGROUND
Post-operative cures with hyaluronic acid (HA) could potentially shorten the period recovery involved in the phenol technique for ingrown toenail. The aim of this study was therefore to compare a standard healing protocol with the experimental one based on hyaluronic acid cream.


MATERIAL AND METHODS
70 patients who had undergone phenol technique surgery for ingrown toenail were divided into two groups - control (n = 35) who received post-operative cures following the standard protocol with povidone iodine gel, and experimental (n = 35) who received cures with HA in the first 3 visits. Bleeding, total healing time, and perceived pain were assessed.


RESULTS
Patients in the control group recovered from the intervention in a total of 26.17 ± 7.75 days, while those in the HA group recovered in a significantly shorter time - 22.42 ± 2.41 days (p = 0.007, effect size 0.653). However, there were no between-group statistical differences in bleeding or perceived pain over the course of the post-surgery visits.


CONCLUSIONS
The use of low molecular weight hyaluronic acid is effective in reducing the phenol-technique healing time by 4 days compared with the standard cure. However, no extra effects such as reductions in bleeding or perceived pain can be expected in choosing this healing protocol.",10.1016/j.jtv.2023.01.010
"Metabolome analysis showed that nitrogen excess promoted the biosynthesis of Amino acids in healthy fruits, including γ-aminobutyric acid (GABA), Arginine and asparagine",Amino acids,Arginine,Component-Whole,component-whole,The nitrogen-dependent GABA pathway of tomato provides resistance to a globally invasive fruit fly.,"Introduction
The primary metabolism of plants, which is mediated by nitrogen, is closely related to the defense response to insect herbivores.


Methods
An experimental system was established to examine how nitrogen mediated tomato resistance to an insect herbivore, the oriental fruit fly (Bactrocera dorsalis). All tomatoes were randomly assigned to the suitable nitrogen (control, CK) treatment, nitrogen excess (NE) treatment and nitrogen deficiency (ND) treatment.


Results
We found that nitrogen excess significantly increased the aboveground biomass of tomato and increased the pupal biomass of B. dorsalis. Metabolome analysis showed that nitrogen excess promoted the biosynthesis of amino acids in healthy fruits, including γ-aminobutyric acid (GABA), arginine and asparagine. GABA was not a differential metabolite induced by injury by B. dorsalis under nitrogen excess, but it was significantly induced in infested fruits at appropriate nitrogen levels. GABA supplementation not only increased the aboveground biomass of plants but also improved the defensive response of tomato.


Discussion
The biosynthesis of GABA in tomato is a resistance response to feeding by B. dorsalis in appropriate nitrogen, whereas nitrogen excess facilitates the pupal weight of B. dorsalis by inhibiting synthesis of the GABA pathway. This study concluded that excess nitrogen inhibits tomato defenses in plant-insect interactions by inhibiting GABA synthesis, answering some unresolved questions about the nitrogen-dependent GABA resistance pathway to herbivores.",10.3389/fpls.2023.1252455
"Higher activity of antioxidant enzymes including superoxide dismutase, catalase, ascorbate peroxidase, and Glutathione reductase, and the antioxidant substances including Ascorbic acid, glutathione, total phenols, and flavonoids were observed in sweet potato tuberous roots treated by HA45°C-3h than untreated group",Glutathione,Ascorbic acid,Component-Whole,component-whole,Hot air treatment alleviates chilling injury of sweet potato tuberous roots by regulating osmoregulatory substances and inducing antioxidant defense system.,"Sweet potato tuberous roots are susceptible to chilling injury (CI) when stored below 10 °C. In this study, we investigated the mitigating effects of hot air (HA) treatment on CI. Results showed that HA45°C-3h treatment delayed the CI and internal browning during cold storage. After HA45°C-3h treatment, the cells' structural integrity was maintained, malondialdehyde accumulation and ion leakage were inhibited. Additionally, the osmoregulatory substances, such as total soluble solids, proline were maintained, and soluble protein was enhanced. Higher activity of antioxidant enzymes including superoxide dismutase, catalase, ascorbate peroxidase, and glutathione reductase, and the antioxidant substances including ascorbic acid, glutathione, total phenols, and flavonoids were observed in sweet potato tuberous roots treated by HA45°C-3h than untreated group. Our study suggested that HA45°C-3h treatment could reduce CI and maintain a better quality of sweet potato tuberous roots following cold storage.",10.1016/j.foodchem.2024.140393
"Higher activity of antioxidant enzymes including superoxide dismutase, catalase, ascorbate peroxidase, and Glutathione reductase, and the antioxidant substances including ascorbic acid, glutathione, total phenols, and flavonoids were observed in sweet Potato tuberous roots treated by HA45°C-3h than untreated group",Glutathione,Potato,Component-Whole,component-whole,Hot air treatment alleviates chilling injury of sweet potato tuberous roots by regulating osmoregulatory substances and inducing antioxidant defense system.,"Sweet potato tuberous roots are susceptible to chilling injury (CI) when stored below 10 °C. In this study, we investigated the mitigating effects of hot air (HA) treatment on CI. Results showed that HA45°C-3h treatment delayed the CI and internal browning during cold storage. After HA45°C-3h treatment, the cells' structural integrity was maintained, malondialdehyde accumulation and ion leakage were inhibited. Additionally, the osmoregulatory substances, such as total soluble solids, proline were maintained, and soluble protein was enhanced. Higher activity of antioxidant enzymes including superoxide dismutase, catalase, ascorbate peroxidase, and glutathione reductase, and the antioxidant substances including ascorbic acid, glutathione, total phenols, and flavonoids were observed in sweet potato tuberous roots treated by HA45°C-3h than untreated group. Our study suggested that HA45°C-3h treatment could reduce CI and maintain a better quality of sweet potato tuberous roots following cold storage.",10.1016/j.foodchem.2024.140393
"Ammonia, one of the most polluted gases in Poultry houses, has always been an urgent problem to solve",Ammonia,Poultry,Component-Whole,neither,Effects of Atmospheric Ammonia on Skeletal Muscle Growth in Broilers.,"Ammonia, one of the most polluted gases in poultry houses, has always been an urgent problem to solve. Exposure to ammonia can threaten the respiratory tract, induce inflammation, and decrease growth performance. To date, there are few studies investigating the effects of ammonia on skeletal muscle growth. In this experiment, a total of 144 broilers were randomly divided into two groups, and 0 ppm and 35 ppm atmospheric ammonia were administered in the chambers. The trial lasted for 21 days. The breast muscle, thigh muscle, dressed weight, and serum biochemical indexes were measured. The skeletal muscle fibre morphology was observed using light microscopy, and the expressions of genes associated with skeletal muscle development and myosin heavy chain genes were assessed. After 7 days of ammonia exposure, the broilers' weight in the ammonia group decreased. On the 21st day of the experiment, in the ammonia group, the breast muscle weight, thigh muscle weight, and dressed weight decreased, the blood urea nitrogen content increased, skeletal muscle fibre diameter shortened, the expression of myostatin increased, and the expression of myosin heavy chain-FWM and myosin heavy chain-FRM decreased significantly. This article suggests that 35 ppm atmospheric ammonia seriously affects the skeletal muscle gain rate of broilers, and the myostatin pathway could be a potential regulation of the growth rate of muscle fibre under ammonia exposure.",10.3390/ani13121926
"The addition of both probiotic isolates, either broth or Wheat grains load separately has enhanced all the growth parameters; however, better results and increased production were in favor of adding probiotics with broth more than Wheat",broth or Wheat,more than Wheat,Cause-Effect,component-whole,In vivo application of potent probiotics for enhancing potato growth and controlling Ralstonia solanacearum and Fusarium oxysporum infections.,"Plant probiotics are live microbial cells or cultures that support plant growth and control plant pathogens through different mechanisms. They have various effects on plants, including plant growth promotion through the production of indole acetic acid (IAA), biological control activity (BCA), and production of cellulase enzymes, thus inducing systemic resistance and increasing the availability of mineral elements. The present work aimed to study the potential of Achromobacter marplatensis and Bacillus velezensis as plant probiotics for the field cultivation of potatoes. In vitro studies have demonstrated the ability of selected probiotics to produce IAA and cellulase, as well as antimicrobial activity against two plant pathogens that infect Solanum tuberosum as Fusarium oxysporum and Ralstonia solanacearum under different conditions at a broad range of different temperatures and pH values. In vivo study of the effects of the probiotics A. marplatensis and B. velezensis on S. tuberosum plants grown in sandy clay loamy soil was detected after cultivation for 90 days. Probiotic isolates A. marplatensis and B. velezensis were able to tolerate ultraviolet radiation (UV) exposure for up to two hours, the dose response curve exhibited that the D10 values of A. marplatensis and B. velezensis were 28 and 16 respectively. In the case of loading both probiotics with broth, the shoot dry weight was increased significantly from 28 in the control to 50 g, shoot length increased from 24 to 45.7 cm, branches numbers increased from 40 to 70 branch, leaves number increased from 99 to 130 leaf, root dry weight increased from 9.3 to 12.9 g, root length increased from 24 to 35.7 cm, tuber weight increased from 15 to 37.0 g and tubers number increased from 9 to 24.4 tuber, the rot percentage was reduced to 0%. The addition of both probiotic isolates, either broth or wheat grains load separately has enhanced all the growth parameters; however, better results and increased production were in favor of adding probiotics with broth more than wheat. On the other hand, both probiotics showed a remarkable protective effect against potato pathogens separately and reduced the negative impact of the infection using them together.",10.1007/s10482-024-01928-2
"The D-P-Ak microspheres biodegraded gradually, releasing calcium, magnesium, and Silicon ions, which, notably, not only directly stimulated the osteogenic differentiation of bone marrow mesenchymal stem cells (BMSCs) but also activated sensory nerve cells to secrete Calcitonin gene-related peptide (CGRP), a key factor in bone repair",Silicon,Calcitonin gene-related peptide,Cause-Effect,cause-effect,Sensory Nerve Regulation via H3K27 Demethylation Revealed in Akermanite Composite Microspheres Repairing Maxillofacial Bone Defect.,"Maxillofacial bone defects exhibit intricate anatomy and irregular morphology, presenting challenges for effective treatment. This study aimed to address these challenges by developing an injectable bioactive composite microsphere, termed D-P-Ak (polydopamine-PLGA-akermanite), designed to fit within the defect site while minimizing injury. The D-P-Ak microspheres biodegraded gradually, releasing calcium, magnesium, and silicon ions, which, notably, not only directly stimulated the osteogenic differentiation of bone marrow mesenchymal stem cells (BMSCs) but also activated sensory nerve cells to secrete calcitonin gene-related peptide (CGRP), a key factor in bone repair. Moreover, the released CGRP enhanced the osteogenic differentiation of BMSCs through epigenetic methylation modification. Specifically, inhibition of EZH2 and enhancement of KDM6A reduced the trimethylation level of histone 3 at lysine 27 (H3K27), thereby activating the transcription of osteogenic genes such as Runx2 and Osx. The efficacy of the bioactive microspheres in bone repair is validated in a rat mandibular defect model, demonstrating that peripheral nerve response facilitates bone regeneration through epigenetic modification. These findings illuminated a novel strategy for constructing neuroactive osteo-inductive biomaterials with potential for further clinical applications.",10.1002/advs.202400242
"Accordingly, Trehalose treatment significantly enhanced the activities of antioxidant-related enzymes such as superoxide dismutase (SOD), catalase (CAT), ascorbate peroxidase (APX), and gluathione reductase (GR), as well as the transcription levels AsA-GSH cycle related gene, which led to the reduction of H2O2 and malondialdehyde (MDA) content in Peach during cold storage",Trehalose,Peach,Cause-Effect,cause-effect,Transcriptome analysis reveals that trehalose alleviates chilling injury of peach fruit by regulating ROS signaling pathway and enhancing antioxidant capacity.,"Peach fruit is prone to chilling injury (CI) during low-temperature storage, resulting in quality deterioration and economic losses. Our previous studies have found that exogenous trehalose treatment can alleviate the CI symptoms of peach by increasing sucrose accumulation. The purpose of this study was to explore the potential molecular mechanism of trehalose treatment in alleviating CI in postharvest peach fruit. Transcriptome analysis showed that trehalose induced gene expression in pathways of plant MAPK signaling, calcium signaling, and reactive oxygen species (ROS) signaling. Furthermore, molecular docking analysis indicated that PpCDPK24 may activate the ROS signaling pathway by phosphorylating PpRBOHE. Besides, PpWRKY40 mediates the activation of PpMAPKKK2-induced ROS signaling pathway by interacting with the PpRBOHE promoter. Accordingly, trehalose treatment significantly enhanced the activities of antioxidant-related enzymes such as superoxide dismutase (SOD), catalase (CAT), ascorbate peroxidase (APX), and gluathione reductase (GR), as well as the transcription levels AsA-GSH cycle related gene, which led to the reduction of H2O2 and malondialdehyde (MDA) content in peach during cold storage. In summary, our results suggest that the potential molecular mechanism of trehalose treatment is to enhance antioxidant capacity by activating CDPK-mediated Ca2 + -ROS signaling pathway and WRKY-mediated MAPK-WRKY-ROS signaling pathway, thereby reducing the CI in peach fruit.",10.1016/j.foodres.2024.114331
"Moreover, mechanistic studies elucidated that Carnosine promoted the expression and nuclear translocation of nuclear factor erythroid 2-related factor 2 (NRF2), thereby facilitating the transcription of its downstream antioxidant response elements, including heme oxyense-1 (HO-1), glutamate Cysteine ligase modifier (GCLM), and glutamate cysteine ligase catalytic (GCLC) to counteract dexamethasone-induced oxidative stress",Carnosine,Cysteine,Component-Whole,cause-effect,"Supplementation with carnosine, a food-derived bioactive dipeptide, alleviates dexamethasone-induced oxidative stress and bone impairment via the NRF2 signaling pathway.","BACKGROUND
Carnosine, a natural bioactive dipeptide derived from meat muscle, possesses strong antioxidant properties. Dexamethasone, widely employed for treating various inflammatory diseases, raises concerns regarding its detrimental effects on bone health. This study aimed to investigate the protective effects of carnosine against dexamethasone-induced oxidative stress and bone impairment, along with its underlying mechanisms, utilizing chick embryos and a zebrafish model in vivo, as well as MC3T3-E1 cells in vitro.


RESULTS
Our findings revealed that carnosine effectively mitigated bone injury in dexamethasone-exposed chick embryos, accompanied by reduced oxidative stress. Further investigation demonstrated that carnosine alleviated impaired osteoblastic differentiation in MC3T3-E1 cells and zebrafish by suppressing the excessive production of reactive oxygen species (ROS) and enhancing the activity of antioxidant enzymes such as superoxide dismutase (SOD) and glutathione peroxidase (GPX). Moreover, mechanistic studies elucidated that carnosine promoted the expression and nuclear translocation of nuclear factor erythroid 2-related factor 2 (NRF2), thereby facilitating the transcription of its downstream antioxidant response elements, including heme oxyense-1 (HO-1), glutamate cysteine ligase modifier (GCLM), and glutamate cysteine ligase catalytic (GCLC) to counteract dexamethasone-induced oxidative stress.


CONCLUSION
Overall, this study underscores the potential therapeutic efficacy of carnosine in mitigating oxidative stress and bone damage induced by dexamethasone exposure, shedding light on its underlying mechanism of action by activating the NRF2 signaling pathway. © 2024 Society of Chemical Industry.",10.1002/jsfa.13899
Our results demonstrated that exposure of the whiteleg Shrimp to MPs and HBCD for 4 weeks resulted in evident histological injury in the hepatopancreas and marked elevation in hepatic lesion markers (Alanine aminotransferase and aspartate aminotransferase) in the hemolymph,Shrimp,Alanine,Cause-Effect,cause-effect,"Toxicities of polystyrene microplastics (MPs) and hexabromocyclododecane (HBCD), alone or in combination, to the hepatopancreas of the whiteleg shrimp, Litopenaeus vannamei.","The hepatopancreas is one of the largest organs playing crucial roles in metabolism and detoxification in crustacean invertebrates. Although toxicities have been increasingly documented for the two ubiquitous pollutants, hexabromocyclododecane (HBCD) and microplastics (MPs), in model animals, little is known about their impacts on the hepatopancreas of crustaceans. To fill this knowledge gap, the effects of MPs and HBCD, alone or in combination, on the hepatopancreas were evaluated in a commercially important crustacean species (the whiteleg shrimp) by histological observation as well as quantification of hepatic lesion-, metabolism-, and detoxification-related parameters. In addition, to reveal potential mechanisms underlying the hepatoxicity observed, the accumulation of HBCD in the shrimp and the status of oxidative stress were also investigated. Our results demonstrated that exposure of the whiteleg shrimp to MPs and HBCD for 4 weeks resulted in evident histological injury in the hepatopancreas and marked elevation in hepatic lesion markers (alanine aminotransferase and aspartate aminotransferase) in the hemolymph. Moreover, both metabolism (activity of phosphofructokinase, contents of lactic acid and adenosine triphosphate, and expression of metabolism-related genes) and detoxification (contents of cytochrome P450, UDP-glucuronosyltransferase, and glutathione, activity of glutathione S-transferase, and expression of detoxification-related genes) were found to be disrupted by the pollutants tested. In addition, exposure to MPs and HBCD also led to alterations in the contents and/or activities of antioxidant enzymes and resulted in oxidative damage to the hepatopancreas (indicated by marked elevation in malondialdehyde content). Furthermore, a significant amount of HBCD accumulated in shrimp treated with HBCD-containing seawater. The data also illustrated that HBCD-MP coexposure was more toxic than single exposure to these pollutants. These findings suggest that MPs and HBCD may exert hepatotoxic impacts on whiteleg shrimp by accumulating in vivo and inducing oxidative stress, which could pose a severe threat to the health of this important crustacean species.",10.1016/j.envpol.2023.121646
"Most notably, chronic injury was associated with increased levels of multiple Amino acids including Alanine, aspartate, lysine, and proline",Amino acids,Alanine,Component-Whole,component-whole,Acute tear versus chronic-degenerated rotator cuff pathologies are associated with divergent tendon metabolite profiles.,"PURPOSE/AIM
Metabolic disorders are risk factors for rotator cuff injuries, which suggests that the rotator cuff is sensitive to local metabolic fluctuations. However, the link between the metabolic microenvironment and pathologic features of acute tear versus chronic degeneration is currently unknown. The overarching goal of this study was to evaluate alterations in tendon metabolite profiles following acute tear or chronic degeneration of the rotator cuff. We hypothesized that injury types (acute tear vs. chronic degeneration) would result in distinct metabolite profiles relative to clinically unaffected tendon controls.


MATERIALS AND METHODS
We utilized untargeted metabolomics to identify pathways that were altered at the time of rotator cuff repair (RCR; acute tear) or reverse total shoulder arthroplasty (rTSA; chronic degeneration) relative to total shoulder arthroplasty controls (TSA; tendon clinically unaffected).


RESULTS
Acute tears to the rotator cuff were associated with an overall decrease in tendon metabolites. This global decrease was primarily associated with glycolic acid and decreased tricarboxylic acid (TCA) cycle activity. Conversely, chronic tendon specimens from patients undergoing rTSA showed an overall increase in metabolites. Most notably, chronic injury was associated with increased levels of multiple amino acids including alanine, aspartate, lysine, and proline.


CONCLUSIONS
Overall, this study demonstrates that distinct metabolite profiles are associated with injury types, and that therapeutic strategies should address both cellular and matrix components regardless of injury induction. The specific pathways identified paired with validated, established, treatment methods may serve as novel therapeutic targets for patients who suffer from rotator cuff injuries.",10.1080/03008207.2024.2425867
"In addition, drought stress induced oxidative stress, which is evidenced by the higher production of reactive Oxygen species (ROS) including Hydrogen peroxide (H2O2), superoxide ion (O2-), hydroxyl ion (OH-), and malondialdehyde (MDA)",Oxygen,Hydrogen,Component-Whole,cause-effect,Biochar-Mediated Control of Metabolites and Other Physiological Responses in Water-Stressed Leptocohloa fusca.,"We investigated biochar-induced drought tolerance in Leptocohloa fusca (Kallar grass) by exploring the plant defense system at physiological level. L. fusca plants were exposed to drought stress (100%, 70%, and 30% field capacity), and biochar (BC), as an organic soil amendment was applied in two concentrations (15 and 30 mg kg-1 soil) to induce drought tolerance. Our results demonstrated that drought restricted the growth of L. fusca by inhibiting shoot and root (fresh and dry) weight, total chlorophyll content and photosynthetic rate. Under drought stress, the uptake of essential nutrients was also limited due to lower water supply, which ultimately affected metabolites including amino and organic acids, and soluble sugars. In addition, drought stress induced oxidative stress, which is evidenced by the higher production of reactive oxygen species (ROS) including hydrogen peroxide (H2O2), superoxide ion (O2-), hydroxyl ion (OH-), and malondialdehyde (MDA). The current study revealed that stress-induced oxidative injury is not a linear path, since the excessive production of lipid peroxidation led to the accumulation of methylglyoxal (MG), a member of reactive carbonyl species (RCS), which ultimately caused cell injury. As a consequence of oxidative-stress induction, the ascorbate-glutathione (AsA-GSH) pathway, followed by a series of reactions, was activated by the plants to reduce ROS-induced oxidative damage. Furthermore, biochar considerably improved plant growth and development by mediating metabolites and soil physio-chemical status.",10.3390/metabo13040511
"Inhibition of BTK using Ibrutinib led to reduced neurological deficits, perihematomal edema, brain Water content and blood-brain barrier disruption",Ibrutinib,Water,Cause-Effect,cause-effect,Inhibition of Bruton's tyrosine kinase restricts neuroinflammation following intracerebral hemorrhage.,"Background: Intracerebral hemorrhage (ICH) is a devastating form of stroke with a lack of effective treatments. Following disease onset, ICH activates microglia and recruits peripheral leukocytes into the perihematomal region to amplify neural injury. Bruton's tyrosine kinase (BTK) controls the proliferation and survival of various myeloid cells and lymphocytes. However, the role of BTK in neuroinflammation and ICH injury remains poorly understood. Methods: Peripheral blood samples were collected from ICH patients and healthy controls to measure BTK expression profile in immune cell subsets. C57BL/6 mice were used to measure BTK expression and the activity of immune cell subsets following ICH induction. Neurological tests, brain water content, Evans blue leakage, MRI were used to assess the therapeutic effects of ibrutinib on ICH injury. Flow cytometry was used to investigate immune cell infiltration and microglial activity. Microglia were depleted using a CSF1R inhibitor PLX5622. Gr-1+ myeloid cells and B cells were depleted using monoclonal antibodies. Microglia-like BV2 cells were cultured to test the effects of BTK inhibition on these cells. Results: In humans and mice, we found that BTK was remarkably upregulated in myeloid cells after ICH. Inhibition of BTK using ibrutinib led to reduced neurological deficits, perihematomal edema, brain water content and blood-brain barrier disruption. BTK inhibition suppressed the inflammatory activity of microglia and brain infiltration of leukocytes. In contrast, BTK inhibition did not alter the counts of peripheral immune cells other than B cells. Further, the depletion of microglia or Gr-1+ myeloid cells ablated the protective effects of BTK inhibition against ICH injury. Notably, the depletion of B cells did not alter the protective effects of BTK inhibition against ICH injury. This suggests that the benefit of BTK inhibition in ICH mainly involves its impact on microglia and Gr-1+ myeloid cells. Conclusion: Our findings demonstrate that BTK inhibition attenuates neuroinflammation and ICH injury, which warrants further investigation as a potential therapy for ICH.",10.7150/thno.101024
"We believe that the cause of Nitrite-negative results is a lack of dietary Nitrate, dilution of urine and exogenous interference (e.g",Nitrite,Nitrate,Cause-Effect,cause-effect,Nitrite-negative results in urinary tract infection by Enterobacterales: does the nitrite dipstick test have low sensitivity?,"Urinary tract infection (UTI) is one of the most common bacterial infections among humans. Urine culture is the gold standard diagnostic method for UTI; however, the dipstick test for nitrite is a widely used method signalling the presence of urinary nitrate-reducing bacteria. Unlike the gold standard, the dipstick test is easy to perform, while it is also less time-consuming and less expensive, and produces a result in a few minutes. This study investigates the sensitivity of the dipstick test for nitrite compared with the Griess test in urine samples from UTI caused by Enterobacterales species. We used the Griess test, which is the gold standard in nitrite measurement, to determine the sensitivity of the nitrite dipstick test. Semiquantitative urine culture was performed using standard procedures, and Enterobacterales identification was performed by manual conventional biochemical tests. In the first sample selection, 3 % (8/267) of urine samples suspected of UTI, analysed from March to April 2016, were nitrite-negative by dipstick test but positive for Enterobacterales in the urine culture. In the second sample selection, 5 % (2/44) of urine samples from October to December 2022 were also nitrite-negative but showed urine Enterobacterales isolation. All nitrite-negative dipstick results were consistent with the Griess test. Escherichia coli was the most prevalent bacterium, followed by Klebsiella pneumoniae, independent of sample selection. The dipstick test is a safe alternative for investigating nitrite in urine samples. We believe that the cause of nitrite-negative results is a lack of dietary nitrate, dilution of urine and exogenous interference (e.g. ascorbic acid). These findings support the idea that standard urine culture is necessary to rule out UTI.",10.1099/jmm.0.001663
"The current research evaluated the antibacterial activity of 6 medicinal plants Sphagneticola calendulacea (Chinese wedelia), Enydra fluctuans (Buffalo spinach), Chenopodium album (Goosefoot), Mentha arvensis (Wild mint), Mimosa diplotricha (Nila grass), and Averrhoa bilimbi (Cucumber tree) against Urinary Tract Infection (UTI)- causing pathogens (Staphylococcus spp., Proteus spp., Pseudmonas spp., Escherichia coli and Enterobacter spp.)",Cucumber,Escherichia coli,Cause-Effect,cause-effect,In-vitro anti-bacterial activity of medicinal plants against Urinary Tract Infection (UTI) causing bacteria along with their synergistic effects with commercially available antibiotics.,"Background
Plants contain a variety of bioactive compounds that provide them antimicrobial properties, which can be used to develop novel antibiotics. The current research evaluated the antibacterial activity of 6 medicinal plants Sphagneticola calendulacea (Chinese wedelia), Enydra fluctuans (Buffalo spinach), Chenopodium album (Goosefoot), Mentha arvensis (Wild mint), Mimosa diplotricha (Nila grass), and Averrhoa bilimbi (Cucumber tree) against Urinary Tract Infection (UTI)- causing pathogens (Staphylococcus spp., Proteus spp., Pseudmonas spp., Escherichia coli and Enterobacter spp.).


Methods
The bacterial contamination of these plants was evaluated by using their surface-washed water. The combined effects of commercially available antibiotics along with these medicinal plants were also tested. We used the solvent extraction method, conventional cell culture technique, minimum inhibitory concentration (MIC) assay, and disc diffusion method for our analysis.


Results
The surface-washed water was contaminated with variable bacteria. The plants displayed notable antibacterial activity against most of the tested bacteria. Ethanol and hot water extract of plants exhibited minimum inhibitory effects, while the methanol extract of plants showed very potent antibacterial activity against most of the bacteria with inhibitory zone diameter up to 14 mm. In the case of combined effects, the zone diameter increased up to 26 mm, which is a significant improvement compared to the individual plant extracts.


Interpretation
This data suggested that the combination of two antibacterial agents, one natural and the other synthetic, would be more efficient in the treatment of multidrug-resistant bacteria than a single monotherapy of either of the antibacterial agents.",10.1016/j.nmni.2022.101076
Loss of the Pectin biosynthesizing enzyme GALACTURONOSYLTRANSFERASE 10 (GAUT10) leads to a short-root phenotype under Sucrose-limited conditions,Pectin,Sucrose,Cause-Effect,cause-effect,Changes in cell wall composition due to a pectin biosynthesis enzyme GAUT10 impact root growth.,"Arabidopsis (Arabidopsis thaliana) root development is regulated by multiple dynamic growth cues that require central metabolism pathways such as β-oxidation and auxin. Loss of the pectin biosynthesizing enzyme GALACTURONOSYLTRANSFERASE 10 (GAUT10) leads to a short-root phenotype under sucrose-limited conditions. The present study focused on determining the specific contributions of GAUT10 to pectin composition in primary roots and the underlying defects associated with gaut10 roots. Using live-cell microscopy, we determined reduced root growth in gaut10 is due to a reduction in both root apical meristem size and epidermal cell elongation. In addition, GAUT10 was required for normal pectin and hemicellulose composition in primary Arabidopsis roots. Specifically, loss of GAUT10 led to a reduction in galacturonic acid and xylose in root cell walls and altered the presence of rhamnogalacturonan-I (RG-I) and homogalacturonan (HG) polymers in the root. Transcriptomic analysis of gaut10 roots compared to wild type uncovered hundreds of genes differentially expressed in the mutant, including genes related to auxin metabolism and peroxisome function. Consistent with these results, both auxin signaling and metabolism were modified in gaut10 roots. The sucrose-dependent short-root phenotype in gaut10 was linked to β-oxidation based on hypersensitivity to indole-3-butyric acid (IBA) and an epistatic interaction with TRANSPORTER OF IBA1 (TOB1). Altogether, these data support a growing body of evidence suggesting that pectin composition may influence auxin pathways and peroxisome activity.",10.1093/plphys/kiad465
"In budding Yeast, the transcriptional repressor Opi1 regulates phospholipid biosynthesis by repressing expression of genes containing Inositol-sensitive upstream activation sequences",Yeast,Inositol,Component-Whole,cause-effect,Opi1-mediated transcriptional modulation orchestrates genotoxic stress response in budding yeast.,"In budding yeast, the transcriptional repressor Opi1 regulates phospholipid biosynthesis by repressing expression of genes containing inositol-sensitive upstream activation sequences. Upon genotoxic stress, cells activate the DNA damage response to coordinate a complex network of signaling pathways aimed at preserving genomic integrity. Here, we reveal that Opi1 is important to modulate transcription in response to genotoxic stress. We find that cells lacking Opi1 exhibit hypersensitivity to genotoxins, along with a delayed G1-to-S-phase transition and decreased gamma-H2A levels. Transcriptome analysis using RNA sequencing reveals that Opi1 plays a central role in modulating essential biological processes during methyl methanesulfonate (MMS)-associated stress, including repression of phospholipid biosynthesis and transduction of mating signaling. Moreover, Opi1 induces sulfate assimilation and amino acid metabolic processes, such as arginine and histidine biosynthesis and glycine catabolism. Furthermore, we observe increased mitochondrial DNA instability in opi1Δ cells upon MMS treatment. Notably, we show that constitutive activation of the transcription factor Ino2-Ino4 is responsible for genotoxin sensitivity in Opi1-deficient cells, and the production of inositol pyrophosphates by Kcs1 counteracts Opi1 function specifically during MMS-induced stress. Overall, our findings highlight Opi1 as a critical sensor of genotoxic stress in budding yeast, orchestrating gene expression to facilitate appropriate stress responses.",10.1093/genetics/iyad130
