sentence,source,target,label,llm_label
"10 out of 12 (83.3%) patients received montelukast, two (16.7%) Cyclosporine, two (16.7%) Dapsone and one (8.3%) hydroxychloroquine as a third drug for chronic urticaria",Cyclosporine,Dapsone,Component-Whole,component-whole
"10 out of 12 (83.3%) patients received montelukast, two (16.7%) cyclosporine, two (16.7%) Dapsone and one (8.3%) Hydroxychloroquine as a third drug for chronic urticaria",Dapsone,Hydroxychloroquine,Component-Whole,component-whole
"Prick and intradermal tests were performed on all patients with methylprednisolone Acetate (Depo-Medrol®, Pfizer) 40 mg/mL containing Polyethylene glycol (PEG) and triamcinolone acetonide (Kenacort®, Deva) 40 mg/mL containing polysorbate 80",Acetate,Polyethylene glycol,Component-Whole,component-whole
"Prick and intradermal tests were performed on all patients with methylprednisolone acetate (Depo-Medrol®, Pfizer) 40 mg/mL containing polyethylene Glycol (PEG) and Triamcinolone acetonide (Kenacort®, Deva) 40 mg/mL containing Polysorbate 80",Triamcinolone,Polysorbate 80,Component-Whole,component-whole
"The relationships among 5-HT3a receptor, Calcium/calmodulin (CaM) pathway, and ferroptosis were assessed via Western blotting, biochemical analysis, and lipid peroxidation assays, including Iron and calcium content, reactive oxygen species, glutathione peroxidase 4 (GPX4), ACSL, and CaM expression",Calcium,Iron,Component-Whole,component-whole
"The relationships among 5-HT3a receptor, Calcium/calmodulin (CaM) pathway, and ferroptosis were assessed via Western blotting, biochemical analysis, and lipid peroxidation assays, including iron and calcium content, reactive Oxygen species, glutathione peroxidase 4 (GPX4), ACSL, and CaM expression",Calcium,Oxygen,Component-Whole,cause-effect
"In this study, we determined the therapeutic effect of Parthenolide (PTL), the active component of Tanacetum parthenium, on neuropathic pain caused by Paclitaxel (PTX), a chemotherapeutic drug frequently used in cancer treatment, at the gene and protein levels",Parthenolide,Paclitaxel,Cause-Effect,cause-effect
"Similarly, mungbean-Wheat cropping system resulted in lower bulk density and higher porosity and Nitrogen (N) contents, while fallow-wheat cropping system resulted in higher bulk density, and lower soil porosity and N contents",Wheat,Nitrogen,Cause-Effect,cause-effect
"Regarding interactions, Wheat-mungbean cropping system with CT resulted in lower bulk density and higher porosity and N contents, whereas Wheat-fallow system with ZT behaved oppositely at all locations in this regard","Regarding interactions, Wheat","contents, whereas Wheat",Cause-Effect,component-whole
"Introduction
Wheat stem sawfly (WSS), Cephus cinctus Norton, is a major pest of common bread Wheat (Triticum aestivum L.) and other cultivated cereals in North America",Wheat,common bread Wheat,Cause-Effect,component-whole
"Recombinant human Thrombopoietin (rhTPO) is commonly used to improve low platelet status in immune thrombocytopenia (ITP), as one protein product, even with a very low rate, there is still the possibility to produce neutralizing antibodies of Thrombopoietin (TPO)",Recombinant human Thrombopoietin,antibodies of Thrombopoietin,Component-Whole,cause-effect
"RESULTS
The docking score of vasicine (-5.27) is nearly identical to the standard Eltrombopag (-6.08), and both ligands bind with one Hydrogen bond",Eltrombopag,Hydrogen,Component-Whole,component-whole
"Phenamacril (PHA), a highly species-specific and non-competitive inhibitor of myosin I (FgMyoI) from Fusarium graminearum, has been identified as an effective fungicide for controlling plant diseases caused by partial Fusarium pathogens, such as Wheat scab and rice bakanae",Fusarium graminearum,Wheat,Cause-Effect,cause-effect
"A large number of studies have shown that iron, Cadmium, lead, nickel, Chromium, and mercury levels were significantly elevated in patients affected by gliomas",Cadmium,Chromium,Cause-Effect,cause-effect
"High-mineral Water resulted in higher response to treatment than low-mineral Water (RR: 1.47, [1.20-1.81], n = 539)",Water,than low-mineral Water,Cause-Effect,cause-effect
"Avian influenza virus (AIV) subtype H9N2 is the most widespread AIV in Poultry worldwide, causing great economic losses in the global Poultry industry",AIV in Poultry,the global Poultry,Cause-Effect,cause-effect
"We demonstrate the value of using metabolomic endotyping to identify a metabolically susceptible group for two-and potentially more-IDs that are driven by increases in specific Amino acids, including microbial-related metabolites such as Tryptophan, bile acids, histidine, polyamine, phenylalanine, and tyrosine metabolism, as well as carbohydrates involved in glycolysis",Amino acids,Tryptophan,Component-Whole,component-whole
All studies used racemic Ketamine; one study additionally used Esketamine,Ketamine,Esketamine,Component-Whole,component-whole
"CONCLUSION
The analgesic properties of α-Mangostin might be mediated by the multi-target modulation of ion channels, including TREK/TRAAK activation, TRPV1 inhibition, and reduction of the Tetrodotoxin-sensitive NaV current",Mangostin,Tetrodotoxin,Component-Whole,cause-effect
"Conclusions: Group RHR, which received Remimazolam, attenuated OIH, including mechanically evoked pain and some clinically relevant pain outcomes caused by a high dose of Remifentanil",Remimazolam,Remifentanil,Cause-Effect,cause-effect
Morphine and Codeine are the two principal opiates found in the Opium poppy (Papaver somniferum L.) and are therapeutically used for pain management,Codeine,Opium,Component-Whole,component-whole
The optical band gaps obtained from the Tauc plot indicated that the incorporation of Iron has led to a decreased band gap of Zinc ferrite (2.89 eV) than pure ZnO (3.14 eV),Iron,Zinc,Cause-Effect,cause-effect
"We studied the levels of aluminum (Al), vanadium (V), manganese (Mn), arsenic (As), selenium (Se), strontium (Sr), barium (Ba), Titanium (Ti), lead (Pb) and Cobalt (Co) in whole blood, and the relationship between trace element exposure and hypertension in the elderly community-based Chinese population",Titanium,Cobalt,Cause-Effect,component-whole
"BACKGROUND
AngII (Angiotensin II)-dependent hypertension causes comparable elevations of blood pressure (BP), Aldosterone levels, and renal ENaC (epithelial Na+ channel) activity in male and female rodents",Angiotensin II,Aldosterone,Cause-Effect,cause-effect
"Total petroleum hydrocarbon, benzene, toluene, phenol index, polycyclic aromatic hydrocarbons, Cadmium, mercury, nickel, lead, and Vanadium contents analysed in the samples were believed to be responsible for the observed genotoxicity and mutagenicity",Cadmium,Vanadium,Cause-Effect,cause-effect
"The aim of the present study was the evaluation of the bioaccumulation of cadmium (Cd), Zinc (Zn), Chrome (Cr), Lead (Pb), Iron (Fe) and Copper (Cu), in the blood, serum, tail and mane of horses from the industrialized area of Milazzo (Messina, Sicily), to understand the relationships between haematological parameters: Red Blood Cells (RBCs), White Blood Cells (WBCs), Haemoglobin (Hb), Haematocrit (Hct), Mean Corpuscular Volume (MCV), Mean Corpuscular Haemoglobin (MCH), Mean Corpuscular Haemoglobin Concentration (MCHC), Platelets (PLTs) and the concentrations of trace elements",Zinc,Iron,Cause-Effect,cause-effect
The chemotherapeutic Irinotecan (CPT-11) causes severe gastrointestinal (GI) toxicity due to deconjugation of inactive metabolite SN-38 glucuronide (SN-38G) by bacterial β-glucuronidases to the active 7-ethyl-10-hydroxycamptothecin (SN-38),Irinotecan,SN-38,Cause-Effect,cause-effect
"KEY RESULTS
Gut microbiome analysis showed that Morphine treatment induced enrichment of β-glucuronidase-producing bacteria in the intestines of CPT-11-treated mice, resulting in SN-38 accumulation and exacerbation of GI toxicity in the small intestine",Morphine,SN-38,Cause-Effect,cause-effect
"MATERIAL AND METHODS
70 patients who had undergone Phenol technique surgery for ingrown toenail were divided into two groups - control (n = 35) who received post-operative cures following the standard protocol with Povidone iodine gel, and experimental (n = 35) who received cures with HA in the first 3 visits",Phenol,Povidone,Component-Whole,cause-effect
"Metabolome analysis showed that nitrogen excess promoted the biosynthesis of Amino acids in healthy fruits, including γ-aminobutyric acid (GABA), Arginine and asparagine",Amino acids,Arginine,Component-Whole,component-whole
"Higher activity of antioxidant enzymes including superoxide dismutase, catalase, ascorbate peroxidase, and Glutathione reductase, and the antioxidant substances including Ascorbic acid, glutathione, total phenols, and flavonoids were observed in sweet potato tuberous roots treated by HA45°C-3h than untreated group",Glutathione,Ascorbic acid,Component-Whole,component-whole
"Higher activity of antioxidant enzymes including superoxide dismutase, catalase, ascorbate peroxidase, and Glutathione reductase, and the antioxidant substances including ascorbic acid, glutathione, total phenols, and flavonoids were observed in sweet Potato tuberous roots treated by HA45°C-3h than untreated group",Glutathione,Potato,Component-Whole,component-whole
"Ammonia, one of the most polluted gases in Poultry houses, has always been an urgent problem to solve",Ammonia,Poultry,Component-Whole,neither
"The addition of both probiotic isolates, either broth or Wheat grains load separately has enhanced all the growth parameters; however, better results and increased production were in favor of adding probiotics with broth more than Wheat",broth or Wheat,more than Wheat,Cause-Effect,component-whole
"The D-P-Ak microspheres biodegraded gradually, releasing calcium, magnesium, and Silicon ions, which, notably, not only directly stimulated the osteogenic differentiation of bone marrow mesenchymal stem cells (BMSCs) but also activated sensory nerve cells to secrete Calcitonin gene-related peptide (CGRP), a key factor in bone repair",Silicon,Calcitonin gene-related peptide,Cause-Effect,cause-effect
"Accordingly, Trehalose treatment significantly enhanced the activities of antioxidant-related enzymes such as superoxide dismutase (SOD), catalase (CAT), ascorbate peroxidase (APX), and gluathione reductase (GR), as well as the transcription levels AsA-GSH cycle related gene, which led to the reduction of H2O2 and malondialdehyde (MDA) content in Peach during cold storage",Trehalose,Peach,Cause-Effect,cause-effect
"Moreover, mechanistic studies elucidated that Carnosine promoted the expression and nuclear translocation of nuclear factor erythroid 2-related factor 2 (NRF2), thereby facilitating the transcription of its downstream antioxidant response elements, including heme oxyense-1 (HO-1), glutamate Cysteine ligase modifier (GCLM), and glutamate cysteine ligase catalytic (GCLC) to counteract dexamethasone-induced oxidative stress",Carnosine,Cysteine,Component-Whole,cause-effect
Our results demonstrated that exposure of the whiteleg Shrimp to MPs and HBCD for 4 weeks resulted in evident histological injury in the hepatopancreas and marked elevation in hepatic lesion markers (Alanine aminotransferase and aspartate aminotransferase) in the hemolymph,Shrimp,Alanine,Cause-Effect,cause-effect
"Most notably, chronic injury was associated with increased levels of multiple Amino acids including Alanine, aspartate, lysine, and proline",Amino acids,Alanine,Component-Whole,component-whole
"In addition, drought stress induced oxidative stress, which is evidenced by the higher production of reactive Oxygen species (ROS) including Hydrogen peroxide (H2O2), superoxide ion (O2-), hydroxyl ion (OH-), and malondialdehyde (MDA)",Oxygen,Hydrogen,Component-Whole,cause-effect
"Inhibition of BTK using Ibrutinib led to reduced neurological deficits, perihematomal edema, brain Water content and blood-brain barrier disruption",Ibrutinib,Water,Cause-Effect,cause-effect
"We believe that the cause of Nitrite-negative results is a lack of dietary Nitrate, dilution of urine and exogenous interference (e.g",Nitrite,Nitrate,Cause-Effect,cause-effect
"The current research evaluated the antibacterial activity of 6 medicinal plants Sphagneticola calendulacea (Chinese wedelia), Enydra fluctuans (Buffalo spinach), Chenopodium album (Goosefoot), Mentha arvensis (Wild mint), Mimosa diplotricha (Nila grass), and Averrhoa bilimbi (Cucumber tree) against Urinary Tract Infection (UTI)- causing pathogens (Staphylococcus spp., Proteus spp., Pseudmonas spp., Escherichia coli and Enterobacter spp.)",Cucumber,Escherichia coli,Cause-Effect,cause-effect
Loss of the Pectin biosynthesizing enzyme GALACTURONOSYLTRANSFERASE 10 (GAUT10) leads to a short-root phenotype under Sucrose-limited conditions,Pectin,Sucrose,Cause-Effect,cause-effect
"In budding Yeast, the transcriptional repressor Opi1 regulates phospholipid biosynthesis by repressing expression of genes containing Inositol-sensitive upstream activation sequences",Yeast,Inositol,Component-Whole,cause-effect
"RESULT
Of the 39 studies obtained in the review, two clinical trials were selected: one for Zanubrutinib and one for Ibrutinib",Zanubrutinib,Ibrutinib,Component-Whole,component-whole
"Twenty-three footballers completed 3 weeks of no intervention (CON), followed by 16 weeks of daily consuming 60 mL of a commercially available supplement containing raw Turmeric root (17.5 g, estimated to contain 700 mg of Curcumin), vitamin C (1000 mg), and vitamin D3 (3000 IU/75 mcg) (SUP)",Turmeric,Curcumin,Component-Whole,component-whole
"Results suggest that the ethyl Acetate extract (seeds) consists of terpenoids (72.29 ± 0.513 mg/g), phenolic content (68.67 ± 2.11 mg/g) and flavonoids (26.36 ± 2.03 mg/g) whereas Chloroform extract (seeds) has terpenoids (42.29 ± 0.98 mg/g)",Acetate,Chloroform,Component-Whole,component-whole
"The availability of Selenium as a micronutrient and the subsequent biosynthesis of selenoproteins, containing the 21st amino acid Selenocysteine (Sec), are important for the physiological functions of macrophages",Selenium,Selenocysteine,Component-Whole,component-whole
"In conclusion, the results indicated that dietary Tryptophan alleviates intestinal inflammatory damage caused by long photoperiod via the inhibition of Nucleotide-Binding Oligomerization Domain, Leucine-Rich Repeat and Pyrin Domain-Containing 3 inflammasome activation, which was mediated by tryptophan metabolites",Tryptophan,Leucine,Cause-Effect,cause-effect
"Together, our findings provide insight into HSP functions in Wheat and two novel candidate genes for improvement of Wheat varieties.",functions in Wheat,improvement of Wheat,Component-Whole,cause-effect
"In MapMan metabolic pathway analyses, genes found to be associated with the maintenance of drought tolerance in Hindmarsh under adverse conditions were predicted to include genes involved in the abscisic acid, cytokinin, and gibberellin phytohormone signaling pathways, genes associated with redox homeostasis related to ascorbate and Glutathione S-transferase, transporters including ABC and AAAP, transcription factors such as AP2/ERF and bHLH, the heat shock proteins HSP60 and HSP70, and the Sucrose non-fermenting-1-related protein kinase",Glutathione,Sucrose,Component-Whole,component-whole
"Plant aquaporins (AQPs) facilitate the membrane diffusion of Water and small solutes, including Hydrogen peroxide (H2 O2 ) and, possibly, cations, essential signalling molecules in many physiological processes",Water,Hydrogen,Component-Whole,component-whole
"We recruited 236 subjects and performed physical examinations, determined the blood and urinary levels of arsenic (As), cadmium (Cd), Chromium (Cr), manganese (Mn), nickel (Ni), lead (Pb), Antimony (Sb), and selenium (Se) by an inductively coupled plasma mass spectrometer (ICP-MS), and measured three renal impairment biomarkers, namely nacetyl-β-D-glucosaminidase (NAG), retinol-binding protein (RBP), and β2-microglobulin (BMG)",Chromium,Antimony,Cause-Effect,cause-effect
"Its distinct Indole ring and high carbon content enable it to generate various biologically active metabolites such as Serotonin, kynurenine (Kyn), and indole-3-pyruvate (I3P)",Indole,Serotonin,Cause-Effect,cause-effect
"The newer integrase strand transfer inhibitors (INSTIs), such as bictegravir and dolutegravir, especially when co-administered with Tenofovir alafenamide fumarate (TAF), seem to lead to greater weight increases compared to regimens that include Tenofovir disoproxil fumarate (TDF), which seem to have an attenuating effect on weight gain",co-administered with Tenofovir,that include Tenofovir,Cause-Effect,cause-effect
"In the ELOQUENT-3 trial, the combination of elotuzumab, pomalidomide and Dexamethasone (EloPd) proved to have a superior clinical benefit over pomalidomide and dexamethasone with a manageable toxicity profile, leading to its approval for the treatment of patients with relapsed/refractory multiple myeloma (RRMM) who have received at least two prior therapies, including Lenalidomide and a proteasome inhibitor",Dexamethasone,Lenalidomide,Component-Whole,component-whole
"High-performance liquid chromatography (HPLC-DAD) analysis and bioassay-guided fractionation of Lettuce seed cake extract led to the isolation of five compounds: 1,3-Propanediol-2-amino-1-(3',4'-methylenedioxyphenyl) (1), luteolin (2), luteolin-7-O-β-D-glucoside (3), apigenin-7-O-β-D-glucoside (4), and β-sitosterol 3-O-β-D-glucoside (5)",Lettuce,"1,3-Propanediol",Cause-Effect,component-whole
"Comparative transcript profiling of ROS scavenging enzymes (superoxide dismutase, peroxidase, Glutathione reductase, and catalase) in stressed and recovered plants revealed crop-specific variations resulting from the unfavorable Water regimes in combination with the herbicide treatment",Glutathione,Water,Cause-Effect,cause-effect
"To explore the possibility of making infused tender Coconut kernel, we investigated the effects of two osmosis methods, including solid-state osmotic dehydration and liquid-state osmotic dehydration, as well as two osmosis agents such as Sorbitol and sucrose, on the mass transfer of coconut kernel under solid-state osmotic dehydration conditions",Coconut,Sorbitol,Component-Whole,component-whole
"To define the temperature influence on Grape physiology and composition during postharvest dehydration, the withering of the red-skin grape cultivar Corvina (Vitis vinifera) was studied in two conditioned rooms set at distinct temperatures and at varying relative humidity to maintain an equal grape Water loss rate",Grape,Water,Component-Whole,cause-effect
"However, Wheat is almost invariably processed before it is consumed, usually via baking and/or toasting, and this can lead to the formation of toxic processing contaminants, including acrylamide, 5-Hydroxymethylfurfural (HMF) and polycyclic aromatic hydrocarbons (PAHs)",Wheat,5-Hydroxymethylfurfural,Component-Whole,cause-effect
"The Oxygen-containing functional groups in Soybean straw were stripped, and a trend of dehydration was observed as the temperature increased during the MHT process",Oxygen,Soybean,Component-Whole,component-whole
"Methods
Two cohorts of male rats were used: in cohort 1, rats received one intraperitoneal (ip) injection of saline or Cisplatin (2 mg kg-1 week-1) on the first day of weeks 1-5; in cohort 2, rats received two cycles of five daily ip injections (Monday to Friday, weeks 1-2) of saline or Vincristine (0.1 mg kg-1 day-1)",Cisplatin,Vincristine,Component-Whole,cause-effect
"Notably, ABS emissions induced metabolic perturbation on Amino acids and energy metabolism, as well as redox-regulated pathways including Arginine, methionine, cysteine, and vitamin B3 metabolism, whereas PLA emissions exposures caused fatty acid and carnitine dysregulation",Amino acids,Arginine,Component-Whole,cause-effect
"As a result, four cocrystals (NOB with urea (URE), oxalic acid, gallic acid and Salicylic acid) and one solvate crystal (NOB with Formic acid (FOR)) were found",Salicylic acid,Formic acid,Component-Whole,component-whole
"For this purpose, we tested various molecules known to act on cell metabolism, and we revealed the anti-inflammatory effect of the FDA-approved piperazine derivative Ranolazine on microglia cells, while confirming the one of the flavonoids Quercetin and Naringenin, both in vitro and in vivo",Ranolazine,Quercetin,Component-Whole,cause-effect
Shrimp that were fed a diet containing 1.5 % BA exhibited a significant increase in acid phosphatase (ACP) and Alkaline Phosphatase (AKP) activity,Shrimp,Alkaline Phosphatase,Component-Whole,cause-effect
"CONCLUSIONS
Caffeine exhibits potent neuroprotective effects against chronic high-altitude-induced cognitive impairments, potentially through its action on A2AR, leading to enhanced TH expression and subsequent release of Dopamine and its related neurotransmitters.",Caffeine,Dopamine,Cause-Effect,cause-effect
"The Almond industry produces, by bleaching and stripping, two by-products: blanched skin (BS) and blanch Water (BW)",Almond,Water,Component-Whole,component-whole
More studies with large sample size are needed to compare the effect of Olanzapine with other agents including Aprepitant and palonosetron in the prevention of CINV.,Olanzapine,Aprepitant,Component-Whole,cause-effect
"cohort 1, with no preventive antiemetics; cohort 2, received 20 mg of pantoprazole per day for 3 days; cohort 3, received a 10 mg Metoclopramide tablet two times daily for 3 days; cohort 4, oral Ondansetron, 8 mg, twice daily for 3 days",Metoclopramide,Ondansetron,Component-Whole,cause-effect
"The findings suggest that novel agents, such as netupitant/palonosetron (NEPA), olanzapine, and transdermal Granisetron (GTDS), offer comparable or superior efficacy to traditional antiemetic regimens, including standard options like Aprepitant combined with 5-HT₃ receptor antagonists and corticosteroids",Granisetron,Aprepitant,Component-Whole,component-whole
"Irbesartan and Losartan generated signals in all statistical measures, followed by Telmisartan and candesartan in some measures",Losartan,Telmisartan,Cause-Effect,cause-effect
The current study investigated whether nano-Selenium (nano-Se) and nano-silica (nano-SiO2) could be used against the leaf spot disease caused by Alternaria alternata in a common bean (Phaseolus vulgaris L.),Selenium,Alternaria alternata,Cause-Effect,cause-effect
"A field experiment to investigate the characteristics was conducted across two years using thin-shelled Tartary buckwheat (Miku 18) with four Potassium fertilizer applications including 0 (no Potassium fertilizer, CK), 15 (low-concentration potassium fertilizer, LK), 30 (medium-concentration potassium fertilizer, MK), and 45 kg·ha-1 (high-concentration potassium fertilizer, HK)",with four Potassium,0 (no Potassium,Component-Whole,component-whole
"The maximum and average grain filling rates; starch synthase activity; superoxide dismutase and peroxidase activities in leaves; root morphological indices and activities; available nitrogen, phosphorus, and organic matter content in rhizosphere soil; urease and Alkaline Phosphatase activities in rhizosphere soil; plant height, main stem node number, main stem branch number, leaf number; grain number per plant, grain weight per plant, and 100-grain weight increased first and then decreased with the increase in Potassium fertilizer application rate and reached the maximum at MK treatment",Alkaline Phosphatase,Potassium,Cause-Effect,cause-effect
"Two studies including 118 patients investigated the effect of Curcumin on cirrhosis, one showing improvement in quality of life and the other showing improvements in Alkaline Phosphatase (ALP), bilirubin, prothrombin time (PT), and the international normalized ratio (INR)",Curcumin,Alkaline Phosphatase,Component-Whole,cause-effect
"The macrolides studied were azithromycin and Clarithromycin, whereas the tetracyclines included Minocycline and doxycycline",Clarithromycin,Minocycline,Component-Whole,component-whole
"Nitrate accumulation was observed in the early fermentation stages of WX-ΔpgdS, and gene transcription analysis and cell morphology observations revealed that Nitrite accumulation was caused by Oxygen limitation due to cell aggregation",Nitrite,Oxygen,Cause-Effect,cause-effect
"QU-LG was prepared by the injection method to form the Quercetin-containing liposomes (QU-L) and evenly dispersed in the natural dissolution of Carboxymethylcellulose sodium (1%, CMC-Na)",Quercetin,Carboxymethylcellulose,Component-Whole,component-whole
"Metabolic pathway analysis further revealed that Melatonin-treated plants exhibited higher levels of 48 metabolites, including sugars, Amino acids, and lipids, than non-melatonin-treated plants under Hg stress",Melatonin,Amino acids,Component-Whole,cause-effect
"One potentially effective strategy to mitigate pesticide toxicity involves dietary intervention by supplementing exogenous Amino acids and their derivates to augment the body's antioxidant capacity and mitigate pesticide-induced oxidative harm, whose mechanism including bolstering Glutathione synthesis, regulating arginine-NO metabolism, mitochondria-related oxidative stress, and the open of ion channels, as well as enhancing intestinal microecology",Amino acids,Glutathione,Component-Whole,cause-effect
"In addition, exogenous spermidine enhanced activities and gene expression of antioxidant enzymes in Barley seedlings under UV-B stress, including peroxidase, Glutathione reductase and glutathione S-transferase",Barley,Glutathione,Component-Whole,component-whole
"Clove essential oil (EO) consists of numerous active molecules, being Eugenol as the principal component; however, other compounds that synergize with each other are responsible for the biological properties of the EO",Clove,Eugenol,Component-Whole,component-whole
"Some geographic variability in practice patterns was noted with Valproic acid being one of the top three medications selected for patients with generalized epilepsies in Western regions, although participants in Eastern regions had Brivaracetam more commonly included as one of their top three agents for this population",Valproic acid,Brivaracetam,Component-Whole,cause-effect
"Group 1 included 20 children who used Insulin human (Insulatard), group 2 included 15 children using Insulin glargine, and group 3 included 14 children using insulin Detemir",Insulin human,Insulin glargine,Component-Whole,component-whole
"Group 1 included 20 children who used Insulin human (Insulatard), group 2 included 15 children using Insulin glargine, and group 3 included 14 children using Insulin detemir",Insulin glargine,Insulin detemir,Component-Whole,component-whole
"Thereinto, 155 newly identified chromophores, including 76 imidazoles, 57 pyrroles, 10 pyrazines, 9 pyridines, and 3 Imidazole-pyrroles, explain additionally 9-69% of the light absorption, and these chromophores mainly involve four formation pathways, including previously unrecognized reactions of Ammonia or methylamine with the methylglyoxal dimer for the formation of pyrroles",Imidazole,Ammonia,Component-Whole,component-whole
"This study investigated the in vitro bioaccessibility of aluminum, copper, Iron, manganese, lead, Selenium, and zinc in three important species of farmed insects: the yellow mealworm (Tenebrio molitor), the house cricket (Acheta domesticus) and the migratory locust (Locusta migratoria)",Iron,Selenium,Cause-Effect,component-whole
"Notably, the experiments performed observed that peanut, rice, rapeseed and Olive oil generated PM2.5 much faster at 240 °C (2.22, 1.50, 0.82 and 0.80 mg/s, respectively, at the highest emission conditions) than that of sunflower, Soybean, and corn oil (0.15, 0.12 and 0.11 mg/s, respectively)",Olive oil,Soybean,Cause-Effect,cause-effect
"RESULTS
For the first time, a crude digestive proteases preparation (CDPP) was obtained from Herring viscera using a two-stage method consisting of Ethanol extraction and then salt precipitation",Herring,Ethanol,Component-Whole,component-whole
"The results showed that the down-regulation of the ACYPI000536 gene expression led to an increase in the histidine and lysine contents in Pea aphids, which, in turn, led to an increase in mortality when Pea aphids fed on the susceptible variety ""Lie Renhe""",contents in Pea,mortality when Pea,Cause-Effect,cause-effect
"The down-regulation of the ACYPI004320 gene expression led to an increase in phenylalanine content in Pea aphids, which, in turn, led to a decrease in mortality when Pea aphids fed on the resistant variety ""Gannong 5"".",content in Pea,mortality when Pea,Cause-Effect,cause-effect
"Furthermore, adding 2.5% Soybean oil to feed containing WB improved laying hen performance by significantly reducing feed conversion per Egg mass (p < 0.05)",Soybean,Egg,Component-Whole,cause-effect
"Conclusion
Adding 2.5% Soybean oil to diets containing WB instead of 17.5% yellow maize improved the feed conversion per Egg mass performance of laying hens.",Soybean,Egg,Component-Whole,cause-effect
"Two arginine residues that should be cleaved by activated factor X were found in the amino acid sequence of the shark Prothrombin, but only one of the two cleavage sites for Thrombin or meizothrombin was conserved",Prothrombin,Thrombin,Component-Whole,component-whole
"Three typical protein extraction and precipitation methods, including trichloroacetic acid (TCA)/acetone method, Phenol method, and TCA/acetone/phenol method, and two digestion methods, including Trypsin digestion and LysC/trypsin digestion, were evaluated for selected proteins related to the impact of engineered nanomaterials (ENMs) on wheat (Triticum aestivum) plant growth",Phenol,Trypsin,Component-Whole,component-whole
"Xylazine (two types), Fentanyl, opiate, methamphetamine, amphetamine, benzodiazepine, and nitazene test strips were used to test urine and paraphernalia samples",Xylazine,Fentanyl,Component-Whole,component-whole
"This testing also revealed positivity rates for fentanyl (73.9 %), fluorofentanyl (30.4 %), tramadol (30.4 %), and Lidocaine (30.4 %).The mass spectrometry results suggest lidocaine triggered n = 3 and n = 0 false positives among the Xylazine test strip types",Lidocaine,Xylazine,Cause-Effect,cause-effect
"In this pilot study, cerebrospinal fluid (CSF) was prospectively collected from 26 NMOSD patients in relapse and 16 controls with noninflammatory diseases and 6 neurometabolites in the Tryptophan metabolic pathway, including 5-hydroxytryptamine (5-HT), Kynurenine (KYN), melatonin (MLT), 5-hydroxyindoleacetic acid (5HIAA), 3-hydroxy-o-aminobenzoic acid (3-HAA), and kynurenic acid (KYA), were measured by ultrahigh-performance liquid chromatography-tandem mass spectrometry (UHPLC-MS/MS)",Tryptophan,Kynurenine,Component-Whole,component-whole
